area_position,region,province,istat,district,year,mounth,interruption_duration,interruption_duration_range,interruption_number,interruption_number_range,dur_number,client_number,altitude,altitude_range,coastal_region,mountain_region,urbanization,opex,opex_generated,capex,capex_generated,sales,ebitda,population_number,coordX,coordY,start_x,start_y
Centro,Toscana e Umbria,Lucca-Massa,45012,MULAZZO,2017,12,68035.12829,0,7272.874694,0,0-0,1815,351,1,0,T,3,#N/A,1193.609955,#N/A,2671.817769,#N/A,#N/A,2566,570562,4905900,0,0
Centro,Sardegna,Cagliari,92039,MURAVERA,2017,12,204108.2738,0,29475.82139,1,0-1,6084,11,4,1,T,3,#N/A,1205.42664,#N/A,4642.252473,#N/A,#N/A,5162,549719,4355163,0,0
Nord,Piemonte e Liguria,Cuneo-Alba,4145,MURAZZANO,2017,12,24855.03373,0,7922.421482,0,0-0,697,739,3,0,T,3,#N/A,8713.470326,#N/A,19592.13877,#N/A,#N/A,840,421584,4925301,0,0
Nord,Piemonte e Liguria,Cuneo-Alba,4146,MURELLO,2017,12,14518.36369,0,1833.699984,0,0-0,472,260,5,0,NM,3,#N/A,6542.947451,#N/A,12271.97781,#N/A,#N/A,962,389641,4956895,0,0
Nord,Emilia Romagna e Marche,Ascoli Piceno,9040,MURIALDO,2017,12,48887.23239,0,4771.0652,0,0-0,836,524,1,0,T,3,#N/A,5711.207722,#N/A,16543.2803,#N/A,#N/A,838,431892,4906269,0,0
Nord,Piemonte e Liguria,Savona-Imperia,9040,MURIALDO,2017,12,46182.18606,0,1862.806333,0,0-0,597,524,1,0,T,3,#N/A,5711.207722,#N/A,16543.2803,#N/A,#N/A,838,431892,4906269,0,0
Nord,Piemonte e Liguria,Alessandria-Asti,6113,MURISENGO,2017,12,30524.04744,0,2652.093296,0,0-0,942,338,3,0,NM,3,#N/A,2764.937303,#N/A,6598.024793,#N/A,#N/A,1450,432210,4992696,0,0
Centro,Toscana e Umbria,Siena-Grosseto,52019,MURLO,2017,12,97547.83946,0,2834.007977,0,0-0,1456,294,3,0,NM,3,#N/A,3439.356226,#N/A,9911.069093,#N/A,#N/A,2388,690956,4780581,0,0
Sud,Puglia e Basilicata,Lecce-Maglie,75051,MUROLECCESE,2017,12,88933.1635,0,7040.320906,0,0-0,2504,82,5,0,NM,2,#N/A,13753.47646,#N/A,23497.26745,#N/A,#N/A,5091,1296579,4482295,0,0
Sud,Puglia e Basilicata,Basilicata,76053,MUROLUCANO,2017,12,103765.5402,0,7852.18014,0,0-0,2846,600,1,0,T,3,#N/A,2855.394503,#N/A,5118.34108,#N/A,#N/A,5568,1046384,4529755,0,0
Centro,Sardegna,Sassari-Olbia,90043,MUROS,2017,12,19753.35284,0,1340.080066,0,0-0,391,308,3,0,NM,3,#N/A,22895.09588,#N/A,44378.43679,#N/A,#N/A,837,467770,4505285,0,0
Nord,Triveneto,Venezia,27025,MUSILEDIPIAVE,2017,12,165746.9696,0,11195.25222,0,0-0,4711,4,5,0,NM,2,#N/A,1449.365433,#N/A,5182.153928,#N/A,#N/A,11518,774935,5055841,0,0
Nord,Lombardia,Como-Lecco,13160,MUSSO,2017,12,31343.32493,0,2586.307007,0,0-0,673,201,1,0,T,2,#N/A,95.03137678,#N/A,3283.558415,#N/A,#N/A,1019,520947,5106946,0,0
